CarName,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,color,carlength,carwidth,carheight,curbweight,cylindernumber,enginesize,compressionratio,horsepower,peakrpm,citympg,highwaympg,Price
toyota tercel,gas,std,two,hardtop,rwd,front,98.4,green,176.2,65.6,52.0,2679,4.0,146,9.3,116.0,4800,24,30,11199.0
peugeot 504,diesel,turbo,four,wagon,rwd,front,114.2,teal,198.9,68.4,58.7,3430,4.0,152,21.0,95.0,4150,25,25,13860.0
renault 12tl,gas,std,four,wagon,fwd,front,96.1,green,181.5,66.5,55.2,2579,4.0,132,8.7,90.0,5100,23,31,9295.0
mitsubishi outlander,gas,turbo,four,sedan,fwd,front,96.3,yellow,172.4,65.4,51.6,2403,4.0,110,7.5,116.0,5500,23,30,9279.0
alfa-romero Quadrifoglio,gas,std,two,hatchback,rwd,front,94.5,gray,171.2,65.5,52.4,2823,6.0,152,9.0,154.0,5000,19,26,16500.0
peugeot 504,diesel,turbo,four,sedan,rwd,front,107.9,navy,186.7,68.4,56.7,3252,4.0,152,21.0,95.0,4150,28,33,17950.0
subaru dl,gas,std,two,hatchback,4wd,front,93.3,fuchsia,157.3,63.8,55.7,2240,4.0,108,8.7,73.0,4400,26,31,7603.0
mitsubishi outlander,gas,turbo,two,hatchback,fwd,front,95.9,silver,173.2,66.3,50.2,2833,4.0,156,7.0,145.0,5000,19,24,12629.0
dodge coronet custom,gas,turbo,two,sedan,fwd,front,93.7,blue,157.3,63.8,50.6,2191,4.0,98,7.6,102.0,5500,24,30,8558.0
subaru,gas,std,four,sedan,fwd,front,97.2,green,172.0,65.4,52.5,2145,4.0,108,9.5,82.0,4800,32,37,7121.0
peugeot 504,gas,std,four,sedan,rwd,front,107.9,maroon,186.7,68.4,56.7,3075,4.0,120,8.4,97.0,5000,19,24,16630.0
dodge d200,gas,turbo,two,hatchback,fwd,front,93.7,aqua,173.64155844155832,63.8,50.8,2128,4.0,98,7.6,102.0,5500,24,30,7881.0
nissan rogue,gas,std,four,hatchback,fwd,front,97.2,white,173.4,65.2,54.7,2324,4.361233480176211,120,8.5,97.0,5200,27,34,9011.0
saab 99e,gas,turbo,four,sedan,fwd,front,99.1,teal,186.6,66.5,56.1,2847,4.0,121,9.0,160.0,5500,19,26,18620.0
dodge coronet custom,gas,turbo,two,sedan,fwd,front,93.7,blue,157.3,63.8,50.6,2191,4.0,98,7.6,102.0,5500,24,30,8389.0
saab 99gle,gas,turbo,two,hatchback,fwd,front,99.1,yellow,186.6,66.5,56.1,2808,4.0,121,9.0,160.0,5500,19,26,18150.0
toyota starlet,gas,std,two,hatchback,rwd,front,98.4,olive,176.2,65.6,52.0,2551,4.0,146,9.3,116.0,4800,24,30,9989.0
toyouta tercel,gas,std,four,wagon,rwd,front,104.5,teal,187.8,66.5,54.1,3151,6.0,161,9.2,156.0,5200,19,24,15750.0
toyota corolla,gas,std,four,sedan,fwd,front,102.4,silver,175.6,66.5,54.9,2414,4.0,122,8.7,92.0,4200,27,32,10898.0
toyota corona,gas,std,four,hatchback,fwd,front,102.4,fuchsia,175.6,66.5,53.9,2414,4.0,122,8.7,92.0,4200,27,32,9988.0
peugeot 504,gas,std,four,sedan,rwd,front,107.9,fuchsia,186.7,68.4,56.7,3075,4.0,120,8.4,95.0,5000,19,24,15580.0
mitsubishi mirage g4,gas,turbo,two,hatchback,fwd,front,96.3,lime,173.0,65.4,49.4,2370,4.0,110,7.5,116.0,5500,23,30,9959.0
honda civic 1500 gl,gas,std,four,wagon,fwd,front,96.5,navy,157.1,63.9,58.3,2024,4.0,92,9.2,76.0,6000,30,34,7295.0
mazda glc 4,gas,std,two,hatchback,rwd,front,95.3,aqua,169.0,65.7,49.6,2500,2.0,80,9.4,135.0,6000,16,23,15645.0
volkswagen super beetle,diesel,turbo,four,sedan,fwd,front,97.3,white,171.7,65.5,55.7,2319,4.0,97,23.0,68.0,4500,37,42,9495.0
honda civic,gas,std,four,sedan,fwd,front,96.5,navy,175.4,65.2,54.1,2465,4.0,110,9.0,101.0,5800,24,28,12945.0
mitsubishi g4,gas,std,two,hatchback,fwd,front,96.3,black,173.0,65.4,49.4,2328,4.0,122,8.5,88.0,5000,25,32,8370.0
nissan note,gas,std,four,wagon,fwd,front,94.5,blue,170.2,63.8,53.5,2037,4.0,97,9.4,69.0,5200,31,37,7999.0
maxda rx3,gas,std,two,hatchback,fwd,front,93.1,olive,159.1,64.2,54.1,1890,4.0,91,9.0,68.0,5000,30,31,5195.0
mazda rx-4,gas,std,four,sedan,fwd,front,93.1,lime,166.8,64.2,54.1,1945,4.0,91,9.0,68.0,5000,31,38,6695.0
toyota corolla 1600 (sw),gas,std,four,wagon,4wd,front,95.7,yellow,169.7,63.6,59.1,2290,4.0,92,9.0,62.0,4800,27,32,7898.0
jaguar xj,gas,std,four,sedan,rwd,front,113.0,teal,199.6,69.6,52.8,4066,6.0,258,8.1,176.0,4750,15,19,32250.0
buick century,diesel,turbo,two,hardtop,rwd,front,106.7,black,187.5,70.3,54.9,3495,5.0,183,21.5,123.0,4350,22,25,28176.0
honda accord lx,gas,std,four,sedan,fwd,front,96.5,silver,163.4,64.0,54.5,2010,4.0,92,9.2,76.0,6000,30,34,7311.0
buick regal sport coupe (turbo),gas,std,two,hardtop,rwd,front,112.0,gray,199.2,72.0,55.4,3715,8.0,304,8.0,184.0,4500,14,16,45400.0
renault 5 gtl,gas,std,two,hatchback,fwd,front,96.1,green,176.8,66.6,50.5,2460,4.0,132,8.7,90.0,5100,23,31,9895.0
dodge colt hardtop,gas,std,four,sedan,fwd,front,93.7,blue,157.3,63.8,50.6,1989,4.0,90,9.4,68.0,5500,31,38,6692.0
toyota corolla,gas,std,four,sedan,fwd,front,102.4,yellow,175.6,66.5,54.9,2326,4.0,122,8.7,92.0,4200,29,34,8948.0
mazda 626,gas,std,two,hatchback,rwd,front,95.3,white,169.0,65.7,49.6,2380,2.0,70,9.4,101.0,6000,17,23,10945.0
subaru,gas,std,four,sedan,fwd,front,97.2,navy,172.0,65.4,52.5,2145,4.0,108,9.5,82.0,4800,32,37,7126.0
mazda glc custom,gas,std,two,hatchback,fwd,front,98.8,teal,177.8,66.5,53.7,2385,4.0,122,8.6,84.0,4800,26,32,10595.0
vokswagen rabbit,diesel,std,two,sedan,fwd,front,97.3,purple,171.7,65.5,55.7,2261,4.0,97,23.0,52.0,4800,37,46,7775.0
mazda 626,gas,std,four,hatchback,fwd,front,98.8,lime,177.8,66.5,55.5,2425,4.0,122,8.6,84.0,4800,26,32,11245.0
bmw 320i,gas,std,two,sedan,rwd,front,101.2,maroon,176.8,64.8,54.3,2395,4.0,108,8.8,101.0,5800,23,29,16430.0
Nissan versa,gas,std,two,sedan,fwd,front,94.5,white,165.3,63.8,54.5,1889,4.0,97,9.4,69.0,5200,31,37,5499.0
peugeot 504,gas,std,four,sedan,rwd,front,107.9,lime,186.7,68.4,56.7,3020,4.0,120,8.4,97.0,5000,19,24,11900.0
subaru tribeca,gas,std,four,wagon,fwd,front,97.0,gray,173.5,65.4,53.0,2455,4.0,108,9.0,94.0,5200,25,31,10198.0
dodge d200,gas,turbo,two,hatchback,fwd,front,93.7,lime,157.3,63.8,50.8,2128,4.0,98,7.6,102.0,5500,24,30,7957.0
mazda glc,gas,std,two,hatchback,rwd,front,95.3,navy,169.0,65.7,49.6,2380,2.0,70,9.4,101.0,6000,17,23,11845.0
honda civic cvcc,gas,std,two,hatchback,fwd,front,93.7,maroon,150.0,64.0,52.6,1956,4.0,92,9.2,76.0,6000,30,34,7129.0
volvo 264gl,gas,turbo,four,sedan,rwd,front,104.3,yellow,188.8,67.2,56.2,3045,4.0,130,7.5,162.0,5100,17,22,18420.0
honda accord,gas,std,four,sedan,fwd,front,96.5,purple,175.4,62.5,54.1,2372,4.0,110,9.0,86.0,5800,27,33,10295.0
subaru brz,gas,std,four,sedan,fwd,front,97.2,purple,172.0,65.4,52.5,2190,4.0,108,9.5,82.0,4400,28,33,7775.0
mitsubishi mirage,gas,std,two,hatchback,fwd,front,93.7,blue,157.3,64.4,50.8,1918,4.0,92,9.4,68.0,5500,37,41,5389.0
plymouth valiant,gas,std,four,wagon,fwd,front,103.3,purple,174.6,64.6,59.8,2535,4.0,122,8.5,88.0,5000,24,30,8921.0
bmw x3,gas,std,four,sedan,rwd,front,110.0,blue,197.0,70.9,56.3,3505,6.0,209,8.0,182.0,5400,15,20,36880.0
audi 100 ls,gas,std,four,sedan,fwd,front,99.8,green,176.6,66.2,54.3,2337,4.0,109,10.0,102.0,5500,24,30,13950.0
mitsubishi lancer,gas,std,two,hatchback,fwd,front,93.7,white,173.64155844155832,64.4,50.8,1944,4.361233480176211,92,9.4,68.0,5500,31,38,6115.0
toyota celica gt liftback,gas,std,two,sedan,rwd,front,94.5,purple,168.7,64.0,52.6,2265,4.0,98,9.4,112.0,6600,26,29,9298.0
honda civic cvcc,gas,std,two,hatchback,fwd,front,86.6,purple,144.6,63.9,50.8,1819,4.0,92,9.2,76.0,6000,31,38,6855.0
mazda rx-4,gas,std,four,sedan,fwd,front,98.8,gray,177.8,66.5,55.5,2410,4.0,122,8.6,84.0,4800,26,32,10245.0
audi 4000,gas,turbo,four,sedan,fwd,front,105.8,aqua,192.7,71.4,55.9,3086,5.0,131,8.3,140.0,5500,17,20,23875.0
bmw 320i,gas,std,four,sedan,rwd,front,101.2,lime,176.8,64.8,54.3,2395,4.0,108,8.8,101.0,5800,23,29,16925.0
toyota corona,diesel,std,four,sedan,fwd,front,95.7,yellow,166.3,64.4,53.0,2275,4.0,110,22.5,56.0,4500,34,36,7898.0
mazda glc,gas,std,four,sedan,rwd,front,104.9,olive,175.0,66.1,54.4,2670,4.0,140,8.0,120.0,5000,19,27,18280.0
vw rabbit,gas,std,two,hatchback,fwd,front,94.5,gray,165.7,64.0,51.4,2221,4.0,109,8.5,90.0,5500,24,29,9980.0
dodge monaco (sw),gas,std,four,hatchback,fwd,front,93.7,olive,157.3,63.8,50.6,1967,4.0,90,9.4,68.0,5500,31,38,6229.0
dodge challenger se,gas,std,two,hatchback,fwd,front,93.7,black,157.3,63.8,50.8,1876,4.0,90,9.4,68.0,5500,31,38,6377.0
volvo 245,gas,std,four,wagon,rwd,front,104.3,gray,188.8,67.2,57.5,3042,4.0,141,9.5,114.0,5400,24,28,16515.0
nissan clipper,gas,std,two,hatchback,rwd,front,99.2,green,178.5,67.9,49.7,3139,6.0,181,9.0,160.0,5200,19,25,18399.0
porsche macan,gas,std,two,hatchback,rwd,front,94.5,fuchsia,168.9,68.3,50.2,2778,4.0,151,9.5,143.0,5500,19,27,21868.0
isuzu D-Max V-Cross,gas,std,four,sedan,fwd,front,94.5,navy,155.9,63.6,52.0,1909,4.0,90,9.6,70.0,5400,38,43,8916.5
dodge dart custom,gas,std,four,wagon,fwd,front,103.3,aqua,174.6,64.6,59.8,2535,4.0,122,8.5,88.0,5000,24,30,8921.0
bmw x1,gas,std,two,sedan,rwd,front,101.2,black,176.8,64.8,54.3,2710,6.0,164,9.0,121.0,4250,21,28,20970.0
mitsubishi pajero,gas,std,four,sedan,fwd,front,96.3,fuchsia,172.4,65.4,51.6,2405,4.0,122,8.5,88.0,5000,25,32,8189.0
peugeot 304,diesel,turbo,four,sedan,rwd,front,107.9,purple,186.7,68.4,56.7,3197,4.0,152,21.0,95.0,4150,28,33,13200.0
dodge rampage,gas,std,two,hatchback,fwd,front,93.7,green,157.3,63.8,50.8,1876,4.0,90,9.41,68.0,5500,37,41,5572.0
volvo diesel,gas,turbo,four,wagon,rwd,front,104.3,yellow,188.8,67.2,57.5,3157,4.0,130,7.5,162.0,5100,17,22,18950.0
subaru r2,gas,turbo,four,sedan,4wd,front,97.0,navy,172.0,65.4,54.3,2510,4.0,108,7.7,111.0,4800,24,29,11124.0
subaru baja,gas,std,four,sedan,fwd,front,97.2,navy,172.0,65.4,52.5,2340,4.0,108,9.0,94.0,5200,26,32,9960.0
toyota corona,gas,std,two,hatchback,fwd,front,95.7,gray,158.7,63.6,54.5,2040,4.0,92,9.0,62.0,4800,31,38,6338.0
volkswagen rabbit,gas,std,four,sedan,fwd,front,100.4,purple,180.2,66.9,55.1,2661,5.0,136,8.5,110.0,5500,19,24,13295.0
toyota corona,gas,std,two,hatchback,rwd,front,94.5,teal,168.7,64.0,52.6,2204,4.0,98,9.0,70.0,4800,29,34,8238.0
nissan nv200,gas,std,four,sedan,fwd,front,97.2,white,173.4,65.2,54.7,2302,4.0,120,8.5,97.0,5200,27,34,9549.0
jaguar xk,gas,std,two,sedan,rwd,front,102.0,black,191.7,70.6,47.8,3950,12.0,326,11.5,262.0,5000,13,17,36000.0
nissan leaf,gas,std,two,sedan,fwd,front,94.5,lime,165.3,63.8,54.5,1951,4.0,97,9.4,69.0,5200,31,37,7299.0
saab 99gle,gas,std,four,sedan,fwd,front,99.1,olive,186.6,66.5,56.1,2758,4.0,121,9.3,110.0,5250,21,28,15510.0
toyota corolla liftback,gas,std,two,sedan,rwd,front,94.5,silver,168.7,64.0,52.6,2169,4.0,98,9.0,70.0,4800,29,34,8058.0
volkswagen rabbit custom,diesel,turbo,four,sedan,fwd,front,100.4,yellow,180.2,66.9,55.1,2579,4.0,97,23.0,68.0,4500,33,38,13845.0
audi 5000,gas,std,four,wagon,fwd,front,105.8,white,192.7,71.4,55.7,2954,5.0,136,8.5,110.0,5500,19,25,18920.0
peugeot 604sl,gas,turbo,four,sedan,rwd,front,108.0,silver,186.7,68.3,56.0,3130,4.0,134,7.0,142.0,5600,18,24,18150.0
buick century luxus (sw),diesel,turbo,four,wagon,rwd,front,110.0,green,190.9,70.3,58.7,3750,5.0,183,21.5,123.0,4350,22,25,28248.0
toyota corona,gas,std,four,sedan,fwd,front,95.7,white,166.3,64.4,53.0,2094,4.0,98,9.0,70.0,4800,38,47,7738.0
porcshce panamera,gas,std,two,hardtop,rwd,rear,89.5,navy,168.9,65.0,51.6,2756,6.0,194,9.5,207.0,5900,17,25,32528.0
mitsubishi g4,gas,turbo,two,hatchback,fwd,front,95.9,blue,173.2,66.3,50.2,2921,4.0,156,7.0,145.0,5000,19,24,14941.0
honda civic,gas,std,two,hatchback,fwd,front,93.7,yellow,150.0,64.0,52.6,1837,4.0,79,10.1,60.0,5500,38,42,5399.0
plymouth fury gran sedan,gas,std,four,sedan,fwd,front,93.7,purple,167.3,63.8,50.8,2191,4.0,98,9.4,68.0,5500,31,38,7609.0
volvo 145e (sw),gas,std,four,sedan,rwd,front,104.3,white,188.8,67.2,56.2,2912,4.0,141,9.5,114.0,5400,23,28,12940.0
buick skylark,gas,std,two,convertible,rwd,front,96.6,olive,180.3,70.5,50.8,3685,8.0,234,8.3,155.0,4750,16,18,35056.0
nissan teana,gas,std,two,hatchback,rwd,front,91.3,aqua,170.7,67.9,49.7,3071,6.0,181,9.0,160.0,5200,19,25,17199.0
mercury cougar,gas,turbo,two,hatchback,rwd,front,102.7,blue,178.4,68.0,54.8,2910,4.0,140,8.0,175.0,5000,19,24,16503.0
honda accord,gas,std,two,hatchback,fwd,front,96.5,black,167.5,65.2,53.3,2236,4.0,110,9.0,86.0,5800,27,33,7895.0
volkswagen dasher,gas,std,four,wagon,fwd,front,100.4,aqua,183.1,66.9,55.1,2563,4.0,109,9.0,88.0,5500,25,31,12290.0
porsche cayenne,gas,std,two,hardtop,rwd,rear,89.5,black,168.9,65.0,51.6,2756,6.0,194,9.5,207.0,5900,17,25,34028.0
isuzu MU-X,gas,std,four,sedan,rwd,front,94.3,gray,170.7,61.8,53.5,2337,4.0,111,8.5,78.0,4800,24,29,6785.0
vw dasher,gas,std,two,convertible,fwd,front,94.5,olive,159.3,64.2,55.6,2254,4.0,109,8.5,90.0,5500,24,29,11595.0
honda civic,gas,std,two,hatchback,fwd,front,93.7,navy,150.0,64.0,52.6,1837,4.361233480176211,79,10.1,60.0,5500,38,42,5408.0
mitsubishi mirage g4,gas,turbo,two,hatchback,fwd,front,95.9,olive,173.2,66.3,50.2,2926,4.0,156,7.0,145.0,5000,19,24,14489.0
buick electra 225 custom,diesel,turbo,four,sedan,rwd,front,110.0,green,190.9,70.3,56.5,3515,5.0,183,21.5,123.0,4350,22,25,25552.0
honda civic,gas,std,two,hatchback,fwd,front,86.6,blue,144.6,63.9,50.8,1713,4.0,92,9.6,58.0,4800,49,54,6479.0
nissan teana,gas,std,two,hatchback,rwd,front,91.3,purple,170.7,67.9,49.7,3071,6.0,181,9.0,160.0,5200,19,25,17331.0
subaru dl,gas,turbo,four,wagon,4wd,front,96.9,white,173.6,65.4,54.9,2650,4.0,108,7.7,111.0,4800,23,23,11694.0
honda prelude,gas,std,four,sedan,fwd,front,96.5,black,175.4,65.2,54.1,2304,4.0,110,9.0,86.0,5800,27,33,8845.0
isuzu D-Max ,gas,std,two,sedan,fwd,front,94.5,aqua,155.9,63.6,52.0,1874,4.0,90,9.6,70.0,5400,38,43,8916.5
nissan juke,gas,std,two,hatchback,fwd,front,94.5,navy,165.6,63.8,53.3,2028,4.0,97,9.4,69.0,5200,31,37,7799.0
mazda glc deluxe,gas,std,four,sedan,fwd,front,93.1,maroon,166.8,64.2,54.1,1950,4.0,91,9.0,68.0,5000,31,38,7395.0
volkswagen type 3,gas,std,four,sedan,fwd,front,97.3,navy,171.7,65.5,55.7,2212,4.0,109,9.0,85.0,5250,27,34,8195.0
bmw z4,gas,std,four,sedan,rwd,front,103.5,white,189.0,66.9,55.7,3055,6.0,164,9.0,121.0,4250,20,25,24565.0
nissan kicks,gas,turbo,two,hatchback,rwd,front,91.3,aqua,170.7,67.9,49.7,3139,6.0,181,7.8,200.0,5200,17,23,19699.0
chevrolet impala,gas,std,two,hatchback,fwd,front,88.4,yellow,141.1,60.3,53.2,1488,3.0,61,9.5,48.0,5100,47,53,5151.0
